Rank,Test Model,RankMetric,Score Document,Score Reference,Score Reference Document
1,gpt-4o-mini-f3,68.03,38.03,66.94,68.03
2,gpt-4o-mini-f1,52.79,37.34,49.54,52.79
3,claude-4-sonnet-20250514,49.18,55.21,38.68,49.18
4,o3,46.47,66.90,37.21,46.47
5,claude-3-7-sonnet-20250219,43.20,53.68,36.61,43.20
6,llama3.3-70b-sft1,43.10,38.68,37.29,43.10
7,qwen3-235b-a22b,42.12,54.63,31.50,42.12
8,o4-mini,42.08,54.03,34.66,42.08
9,gpt-4o-mini,41.80,43.22,34.46,41.80
10,gpt-4.1-mini,41.53,54.30,31.92,41.53
11,Gemini-2.5-pro,41.46,61.99,30.84,41.46
12,pe_gpt-4o-mini,41.22,52.30,34.92,41.22
13,llama4_maverick,41.20,43.57,33.07,41.20
14,llama-3.3-70b-instruct,41.08,41.86,33.73,41.08
15,pe_llama-3.1-405b-instruct,40.87,41.83,34.97,40.87
16,llama4_scout,40.82,37.85,33.77,40.82
17,llama3.3-70b-lora1,40.38,31.62,31.64,40.38
18,pe_deepseek-r1-32b,40.24,46.31,35.19,40.24
19,pe_llama-3.3-70b-instruct,40.13,48.55,35.38,40.13
20,gpt-4.1,40.12,55.49,34.37,40.12
21,pe_llama-3.1-70b-instruct,39.90,43.69,34.87,39.90
22,llama-3.1-70b-instruct,39.59,39.71,33.42,39.59
23,gpt-4.1-nano,39.51,38.31,31.00,39.51
24,llama4-109b-lora1,39.31,34.65,33.01,39.31
25,Gemini-1.5-pro,39.21,42.71,32.94,39.21
26,deepseek-r1-32b,39.09,34.00,33.30,39.09
27,llama3.1-8b-lora1,39.07,34.92,32.77,39.07
28,pe_llama-3.1-8b-instruct,39.06,37.23,33.19,39.06
29,llama-3.1-405b-instruct,39.04,38.03,33.09,39.04
30,pe_llama4_scout,39.01,48.25,34.07,39.01
31,mixtral-8x22b-instruct-v0.1,38.88,36.86,33.78,38.88
32,llama3.1-8b-f1,38.78,34.56,33.09,38.78
33,pe_llama4_maverick,38.64,43.54,31.74,38.64
34,codestral-22b-instruct-v0.1,37.99,39.22,32.47,37.99
35,deepseek-r1,37.93,53.80,32.59,37.93
36,mixtral-8x7b-instruct-v0.1,37.88,30.35,34.25,37.88
37,llama-3.1-8b-instruct,37.75,34.85,31.43,37.75
38,mistral-large-latest,37.65,44.25,33.35,37.65
39,gemma-2-27b-it,37.38,36.55,29.26,37.38
40,pe_deepseek-r1-8b,36.91,34.66,30.62,36.91
41,mistral-nemo-12b-instruct,36.42,31.81,29.75,36.42
42,nemotron-4-340b-instruct,35.34,40.15,30.50,35.34
43,deepseek-r1-8b,34.03,26.68,26.27,34.03
44,gpt-4o,33.90,49.36,28.28,33.90
45,claude-3-5-sonnet,33.75,52.78,25.85,33.75
46,gemma-2-9b-it,33.67,29.97,29.68,33.67
47,mamba-codestral-7b-v0.1,31.83,27.94,29.42,31.83
48,gemma-2-2b-it,31.08,24.61,27.60,31.08
49,phi-3-mini-128k-instruct,27.76,23.81,24.64,27.76
50,gemma-3-1b-it,27.67,28.34,25.67,27.67
51,phi-3-medium-128k-instruct,21.96,19.65,19.84,21.96
