Rank,model,ConsensusScore,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,gpt-4o-mini-f2,100.00,35.13,51.92,55.72,,,,,,,,,
2,gpt-4o-mini-f1,88.42,37.34,49.54,52.79,0.76,0.71,0.73,0.92,0.68,0.86,0.79,0.81,0.86
3,claude-4-sonnet-20250514,74.13,55.21,38.68,49.18,0.66,0.54,0.59,0.89,0.60,0.78,0.68,0.69,0.78
4,gpt-4o-mini-f3,69.79,38.03,66.94,68.03,0.38,0.31,0.32,0.34,0.30,0.34,0.33,0.34,0.34
5,llama3.3-70b-sft1,68.62,38.68,37.29,43.10,0.69,0.61,0.64,0.90,0.59,0.82,0.74,0.75,0.82
6,claude-3-7-sonnet-20250219,62.91,53.68,36.61,43.20,0.63,0.50,0.53,0.87,0.59,0.76,0.64,0.67,0.76
7,qwen3-235b-a22b,60.50,54.63,31.50,42.12,0.61,0.51,0.53,0.85,0.55,0.75,0.64,0.67,0.75
8,pe_gpt-4o-mini,59.29,52.30,34.92,41.22,0.61,0.52,0.54,0.84,0.51,0.76,0.66,0.67,0.76
9,gpt-4o-mini,59.08,43.22,34.46,41.80,0.61,0.52,0.53,0.84,0.54,0.72,0.62,0.66,0.72
10,llama4_maverick,59.02,43.57,33.07,41.20,0.60,0.51,0.56,0.85,0.47,0.77,0.66,0.68,0.76
11,Gemini-1.5-pro,58.70,,,,0.61,0.51,0.54,0.84,0.54,0.73,0.62,0.65,0.73
12,pe_llama-3.1-405b-instruct,58.42,41.83,34.97,40.87,0.61,0.52,0.54,0.83,0.52,0.75,0.65,0.67,0.75
13,llama-3.3-70b-instruct,57.88,41.86,33.73,41.08,0.60,0.52,0.54,0.84,0.50,0.74,0.62,0.66,0.73
14,o3,57.80,66.90,37.21,46.47,0.48,0.33,0.36,0.82,0.42,0.71,0.55,0.59,0.71
15,llama3.1-8b-lora1,57.78,34.92,32.77,39.07,0.64,0.54,0.58,0.87,0.54,0.76,0.68,0.68,0.76
16,gpt-4.1,57.49,55.49,34.37,40.12,0.60,0.49,0.52,0.86,0.53,0.77,0.65,0.67,0.77
17,gpt-4.1-mini,57.33,54.30,31.92,41.53,0.58,0.46,0.50,0.85,0.52,0.74,0.61,0.65,0.74
18,llama4_scout,57.14,37.85,33.77,40.82,0.61,0.51,0.53,0.84,0.53,0.72,0.61,0.64,0.72
19,pe_deepseek-r1-32b,57.03,46.31,35.19,40.24,0.60,0.51,0.53,0.85,0.50,0.75,0.64,0.66,0.75
20,pe_llama-3.3-70b-instruct,56.64,48.55,35.38,40.13,0.60,0.51,0.54,0.84,0.49,0.75,0.64,0.67,0.74
21,llama4-109b-lora1,56.49,34.65,33.01,39.31,0.62,0.53,0.55,0.85,0.53,0.75,0.65,0.66,0.75
22,llama3.1-8b-f1,56.13,34.56,33.09,38.78,0.63,0.53,0.57,0.86,0.54,0.74,0.66,0.66,0.74
23,llama-3.1-405b-instruct,55.31,38.03,33.09,39.04,0.62,0.53,0.55,0.83,0.56,0.72,0.62,0.66,0.72
24,deepseek-r1,54.57,53.80,32.59,37.93,0.61,0.50,0.51,0.85,0.54,0.77,0.65,0.68,0.77
25,pe_llama-3.1-8b-instruct,54.33,37.23,33.19,39.06,0.60,0.52,0.53,0.83,0.51,0.72,0.63,0.65,0.72
26,pe_llama-3.1-70b-instruct,53.66,43.69,34.87,39.90,,,,,,,,,
27,gpt-4.1-nano,53.45,38.31,31.00,39.51,0.58,0.47,0.51,0.84,0.51,0.71,0.59,0.63,0.71
28,mistral-large-latest,53.07,44.25,33.35,37.65,0.60,0.50,0.52,0.84,0.53,0.74,0.63,0.67,0.74
29,llama3.1-8b-f2,52.78,33.19,32.02,39.60,,,,,,,,,
30,codestral-22b-instruct-v0.1,52.60,39.22,32.47,37.99,0.61,0.52,0.54,0.84,0.53,0.70,0.61,0.65,0.70
31,deepseek-r1-32b,52.57,34.00,33.30,39.09,0.59,0.49,0.51,0.83,0.51,0.70,0.58,0.62,0.70
32,mixtral-8x22b-instruct-v0.1,52.01,36.86,33.78,38.88,0.59,0.52,0.54,0.80,0.49,0.67,0.60,0.62,0.67
33,Gemini-2.5-pro,52.00,61.81,31.03,41.73,0.53,0.37,0.44,0.82,0.46,0.67,0.54,0.57,0.67
34,o4-mini,51.77,54.03,34.66,42.08,0.49,0.32,0.34,0.82,0.45,0.71,0.55,0.60,0.71
35,Gemini,51.63,42.71,32.94,39.21,,,,,,,,,
36,gemma-2-27b-it,50.94,36.55,29.26,37.38,0.59,0.50,0.52,0.83,0.50,0.71,0.61,0.64,0.71
37,llama-3.1-70b-instruct,50.77,39.71,33.42,39.59,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71
38,pe_llama4_maverick,49.96,43.54,31.74,38.64,,,,,,,,,
